no,smiles,tm
1,O=C(OC)C(C)(N)CC1=CC=C([N+]([O-])=O)C=C1,68
2,O=C(N1C)N(CCCC)C=C([N+]([O-])=O)C1=O,68
3,O=C(OC1=CC=CC=C1[N+]([O-])=O)NCCC2=CC=CC=C2,68
4,O=C(C(N=NC1)(C2=CC=C([N+]([O-])=O)C=C2)C31CC3)OC,68
5,O=[N+](C=CN(CC1=CC=CC=C1)C)[O-],68
6,O=[N+](C1=CC=C(C2=NC(C3CC3)=NO2)O1)[O-],68.5
7,N#CC1=NC=C(C)C([N+]([O-])=O)=C1C,68.5
8,O=[N+](C1=CC=C(C2CC(C3=C4C=CC=CC4=CC5=CC=CC=C35)=NN2)C=C1)[O-],68.5
9,O=C(OC(C=C(C)C)C)C1=CC=C([N+]([O-])=O)C=C1,68.5
10,O=[N+](C1=C2C(COCC2=CC=C1)=C)[O-],68.5
11,O=[N+](C1=CC=C(C2NCCC3=C2C=CC(OC)=C3)C=C1)[O-],68.5
12,O=C1C(C2=CC=CC=C2)([N+]([O-])=O)CCC3=C1C=CC=C3,68.5
13,O=[N+](OC1(O[N+]([O-])=O)N([N+]([O-])=O)C(C)OC1)[O-],68.5
14,O=C(N=[N+]=[N-])C(C1=CC=CC=C1)=CC2=CC=C([N+]([O-])=O)O2,68.5
15,O=C(O[C@@H]1C[C@@H](C)OCC1)C2=CC=C([N+]([O-])=O)C=C2,68.5
16,O=[N+](CCC1=CC(OC)=C(C)C=C1OC)[O-],68.5
17,CCCCCC(/C=C/C(C)C)=N/NC1=CC=C([N+]([O-])=O)C=C1[N+]([O-])=O,68.5
18,O=[N+](C1=CC=C(C#CC2=CC=CC=C2C#CC3=CC=C([N+]([O-])=O)C=C3)C=C1)[O-],68.5
19,O=C(C1=CC=CN1C2=CC=CC=C2[N+]([O-])=O)NC3CCCCC3,68.5
20,N#CC1=C([N+]([O-])=O)C=CC=C1CCN(C)C,68.5
21,C=C(C(N(C#N)CCC)C1=CC=CC=C1[N+]([O-])=O)C(OC)=O,68.5
22,O=[N+](C1=CC(N2C3=C(OC4=CC=CC=C43)C=C2C5=CC=C(OC)C=C5)=CC=C1)[O-],68.5
23,CC(C)([N+]([O-])=O)C(NC1=CC=CC=C1[N+]([O-])=O)=O,68.5
24,CC(C)=NN(C1=CC=CC=C1[N+]([O-])=O)C2=CC=CC=C2,68.5
25,O=C([C@@]1([C@H](C2=CC=C([N+]([O-])=O)C=C2)C[N+]([O-])=O)OC3=CC=CC=C3C1=O)OC,68.5
26,NC1=C([N+]([O-])=O)C=C(C)C=C1C,69
27,CC1=CC(OCC2=CC=CC=C2)=CC=C1[N+]([O-])=O,69
28,O=[N+](C1=CC=C(OC#N)C=C1)[O-],69
29,O=[N+](CC(C1=CNC2=C1C=CC=C2)C3=CC=CO3)[O-],69
30,O=[N+](C1=CC=CC=C1/N=N/C2=CC=CC=C2)[O-],69
31,CC1=CC=C(C=C1)NCC2=CC=C([N+]([O-])=O)C=C2,69
32,O=C(OC(C)(C)C)NCC#CC1=CC=C([N+]([O-])=O)C=C1,69
33,CC(NCCC1(C[N+]([O-])=O)CCCCC1)=O,69
34,O=C(OC)C(C(OC)=O)=CC1=CC=CC=C1[N+]([O-])=O,69
35,O=[N+](C1=CC(C)=CC=C1N2C=CC=C2)[O-],69
36,NC1=C(OC)C=CC(OC)=C1[N+]([O-])=O,69
37,O=[N+](C1=CC=CC=C1C2=CN=NN2CC3=CC=CC=C3)[O-],69
38,O=[N+](C1=CC=C(OC(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)[O-],69
39,O=C(O[C@H]1[C@H](C(C)C)CC[C@@H](C)C1)C2=CC=CC=C2[N+]([O-])=O,69
40,O=[N+](C1=CC=C(OCC2CCN(CC3CC3)CC2)C=C1)[O-],69
41,O=[N+](C1=CC=CC=C1NCC=CC2=CC=CC=C2)[O-],69
42,O=[N+](C1=CC(C2=CC(C)=CC(C)=C2)=CC=C1)[O-],69
43,O=C(OC)C1=CC=C(CCCC(C2=C(N)N=C(N)N=C2N)C[N+]([O-])=O)C=C1,69
44,O=C(OC(C)(C)C)C1=CC=C([N+]([O-])=O)C(OC(C)C)=C1,69
45,CC(C1=CC(N2CCN(C)CC2)=CC=C1[N+]([O-])=O)=O,69
46,[O-][N+]1=C(C(OC)=O)C(C)(C)N(N=O)C1(C)C,69
47,C=CC1=CC=C(C2=CC=CC([N+]([O-])=O)=C2)C=C1,69
48,O=[N+](C1=C(C([N+]([O-])=O)=C(C)C(C)=C1)NCCCC)[O-],69
49,O=[N+](C1=CC=C(OC)C(OCC2=CC=CC=C2)=C1CC=C)[O-],69
50,COC1=CC(C(C[N+]([O-])=O)C[N+]([O-])=O)=CC=C1,69
51,O=[N+](C1=CC=CC2=NN(CC=C)C=C12)[O-],69
52,NC1=CC(N(CCC)CCC)=C([N+]([O-])=O)C=C1[N+]([O-])=O,69
53,O=[N+](CC1=C2N=CC=CC2=C([N+]([O-])=O)C=C1)[O-],69
54,O=[N+](C1=CC(C#CC2=CC=CC=C2C3=CC=CC=C3)=CC=C1)[O-],69
